Country,Destroyed_Count,country_code,Population
Bolivia,9,BOL,12388571
Namibia,9,NAM,2604172
Hong Kong,9,HKG,7536100
Burkina Faso,9,BFA,23251485
Malaysia,9,MYS,34308525
France,9,FRA,68170228
Morocco,9,MAR,37840044
Peru,9,PER,34352719
Puerto Rico,9,PRI,3205691
Saudi Arabia,9,SAU,36947025
Luxembourg,9,LUX,668606
Lithuania,9,LTU,2871897
Aland Islands,9,ALA,
Pakistan,9,PAK,240485658
Venezuela,8,VEN,28838499
Czechia,8,CZE,10873689
Spain,8,ESP,48373336
Japan,8,JPN,124516650
Tokelau,8,TKL,
Kazakhstan,8,KAZ,19900177
Kosovo,8,XKX,1756374
French Polynesia,8,PYF,308872
Syria,8,SYR,23227014
Canada,8,CAN,40097761
North Macedonia,8,MKD,1811980
Lebanon,8,LBN,5353930
Gibraltar,8,GIB,32688
Bosnia and Herzegovina,8,BIH,3210847
Iran,8,IRN,89172767
New Zealand,7,NZL,5223100
Norway,7,NOR,5519594
Western Sahara,7,ESH,"652,271"
Vietnam,7,VNM,98858950
Indonesia,7,IDN,277534122
South Korea,7,KOR,51712619
Tuvalu,7,TUV,11396
Ukraine,6,UKR,37000000
Denmark,6,DNK,5946952
Israel,6,ISR,9756700
Poland,6,POL,36685849
Yemen,6,YEM,34449825
Russia,6,RUS,143826130
United States,5,USA,334914895
Antarctica,5,ATA,
India,5,IND,1428627663
Palestine,5,PSE,5165775
Taiwan,5,TWN,"23,213,962"
Mexico,4,MEX,128455567
China,3,CHN,1410710000
